Unnamed: 0,source,review_id,user_name,review_title,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion,laguage_code,country_code
0,Google Play,acd36426-845f-499d-894e-75894944664d,Rajammal munusamy,,I love it and it's easy,5,0,15-11-2023 17:26,,,5.125.4,en,us
1,Google Play,de1f3d24-328e-47d2-b8d2-176d3896e156,Najlae Jeon,,This is the best application for learning,5,0,15-11-2023 17:26,,,5.128.3,en,us
2,Google Play,6f7eb9e3-3621-4fd4-ba85-b14b4ac97414,Rahul Sawant,,"it's actually fun, I'm a beginner so I really don't know",5,0,15-11-2023 17:25,,,5.128.3,en,us
3,Google Play,cb985479-b8ae-40b4-90e0-1e5fbf31a597,Ravi Prakash,,This is the best app to learn languages. It makes it very easy and fun to play.,5,0,15-11-2023 17:24,,,,en,us
4,Google Play,747a16db-708d-4318-8001-eb0738580b67,Jack Dean,,Best app ever SPANISH OR VANISH,5,0,15-11-2023 17:22,,,,en,us
5,Google Play,62568e51-a564-44a0-9425-1423013e2a59,Paul Wade,,addictive and educated great mix,5,0,15-11-2023 17:19,,,5.128.3,en,us
6,Google Play,2b5cc8aa-3953-4c9e-a5fb-4b1e85849334,Livia Adriana Sakai,,"The best 👌 ,I recommend this app to everyone.",5,0,15-11-2023 17:19,,,5.128.3,en,us
7,Google Play,ceefaad4-38c1-418d-9124-c9a02467f394,Gleryn Baidoo,,This app is the best precisely 😁😊😁,4,0,15-11-2023 17:17,,,5.101.7,en,us
8,Google Play,6dbe9007-0117-4913-92bf-72ca24100140,bbagmer 12,,I can learn german,5,0,15-11-2023 17:15,,,5.128.3,en,us
9,Google Play,cc122a74-22cc-46d1-8a0e-c1ea9bfe1abc,Teresa Scheller Hisey,,fun to learn,5,0,15-11-2023 17:14,,,5.128.3,en,us
10,Google Play,30023e5c-2618-4186-8606-492a77627d79,Jiyanshichoudhary Vardhmanedu,,it was very easy to learn any language. I have learnt French very easily,5,0,15-11-2023 17:11,,,5.129.3,en,us
11,Google Play,5105041d-7f53-4e90-b6c7-2be0619b9444,Keya Khan,,good,3,0,15-11-2023 17:11,,,5.129.3,en,us
12,Google Play,02cf542e-2850-4103-8f30-4be114c84218,alflycornejo16,,great app!!,5,0,15-11-2023 17:09,,,5.129.3,en,us
13,Google Play,99d0f623-f8b8-41c5-a74b-61e3198635dc,ashif khan,,😊 good Learn every language,5,0,15-11-2023 17:08,,,,en,us
14,Google Play,b734032b-97b4-4e18-a830-c295fb24c447,Samiya 1,,v cute. game-like so easy to do while being productive.,5,0,15-11-2023 17:07,,,5.128.3,en,us
15,Google Play,94a99516-df4c-41da-a836-7023d90acba1,sudhansu bhusan kuanr,,I love this app. But it should start a lesson for example Korean with teaching words not alphabets as there another button for learning alphabets. But this is a great app.,4,0,15-11-2023 17:07,,,5.114.4,en,us
16,Google Play,13a13843-4ed8-469d-a0cf-1098dbf7e8ae,Oyinlola Bello,,"Really nice except from the keyboard problems sometimes, I really love the app and it's free and efficient for those trying to learn other languages",4,0,15-11-2023 17:07,,,5.128.3,en,us
17,Google Play,3953b972-a7a8-498a-a18b-fe522b969ba2,4 Bhalsod Manav,,thi is so good,5,0,15-11-2023 17:05,,,5.128.3,en,us
18,Google Play,384ad947-fa5f-4d17-92d8-c93e6c63faba,Adhi Nugroho,,really fun and simple to learn new language,5,0,15-11-2023 17:04,,,5.129.3,en,us
19,Google Play,cc91d4ff-3e1f-49c8-950a-a62d543b49da,Sharon Kosgey,,"Duolingo it's the best app of learning french,have learnt alot",5,0,15-11-2023 17:03,,,5.128.3,en,us
20,Google Play,78a2bb0d-222e-42df-a2a9-d396af974362,MOUNIR GASTEL,,I recommend this application,5,0,15-11-2023 17:01,,,5.128.3,en,us
21,Google Play,8d8eca23-456c-41bd-a13e-4a087a0bf0e4,Leeann,,I love this app 🤩. because I learned so many swedish. and I can talk swedish so much. thats hy I love this app. we be here byee😃,5,0,15-11-2023 17:01,,,5.128.3,en,us
22,Google Play,8914de19-c169-40fe-aa36-f42612f7ef77,kiki shalaka,,"Really good app, I'd like to see more violent threats from dou ngl and also a new language like croation or Korvax (yes ik it's made up) but the threats are hilarious lol",5,0,15-11-2023 16:59,,,5.129.3,en,us
23,Google Play,85fc6857-7d31-4377-8188-a00921803da8,Lukáš Aron,,Great language learning app,5,0,15-11-2023 16:59,,,5.128.3,en,us
24,Google Play,20722517-8bcf-413a-9c88-488211298a07,Ramesh Ravinatha,,one of the best language training apps I ever used. its so user friendly,5,0,15-11-2023 16:59,,,5.128.3,en,us
25,Google Play,3274bbb0-7c16-48ff-ba46-fb6c16f60fa4,August Boyer,,"This is a great app, the only issue that I have is that the Duolingo widget does not work for my phone, it is a unihertz atom and when I try to add the widget it shows up as nothing",4,0,15-11-2023 16:59,,,5.129.3,en,us
26,Google Play,35066eeb-f7a8-4134-b356-28868043ba7e,Mohamed Abdulle Hassan,,"help fully, keep up",5,0,15-11-2023 16:58,,,5.129.3,en,us
27,Google Play,56a2bdc1-b431-4574-b2cf-e05cbd8c2325,Sikander Baig,,OMG 😲,5,0,15-11-2023 16:58,,,5.128.3,en,us
28,Google Play,f4e2f7ee-12bb-452b-812d-3b9ac141fdfa,Anshul Choursiya,,nice,4,0,15-11-2023 16:58,,,5.122.3,en,us
29,Google Play,70cb1045-a112-4114-95db-f667adf3630c,Nastassia Francis,,this is a very fun game I do Spanish easily at school this app helps to learn so download it,5,0,15-11-2023 16:57,,,5.128.3,en,us
30,Google Play,116fe3c7-e8a4-405d-8a46-c37b5e8e4d61,Puspendar Singh,,this is a good app for everyone to learn any languages,5,0,15-11-2023 16:57,,,5.128.3,en,us
31,Google Play,30846e17-02f8-4f11-ab5b-bc01a91e0110,L W,,Great idea but the app asks me to log in every time I open it.,2,0,15-11-2023 16:56,,,5.129.3,en,us
32,Google Play,0a5a3afd-407d-4bb1-9681-f59eee711414,Bahnisikha Gogoi,,duolingo is a great app for learning languages and it's also really fun but I think it was better before the update when it had no ads and you didn't have to pay diamonds for making legendary levels or the timed challenges and it takes a long time to load the lessons otherwise it's a great app 10/10 would recommend 👍,5,0,15-11-2023 16:56,,,5.128.3,en,us
33,Google Play,cb75bd39-c832-4f95-92ab-73e30fd995b5,bristy,,I like this app but I'm new in this app,4,0,15-11-2023 16:55,,,5.128.3,en,us
34,Google Play,58cc69b6-f6c7-4da4-b543-35f0f118530e,Oluchi Nnamchi,,this game will help me communicate with other zulu speaking people,5,0,15-11-2023 16:54,,,5.128.3,en,us
35,Google Play,6f8d8da8-43f8-44b9-9b26-2385b65ea1f9,Benedict Oranu,,great,4,0,15-11-2023 16:53,,,5.126.2,en,us
36,Google Play,4c84a661-0710-4d93-ad53-0365fa5165aa,Jonathan Chang,,"Many audio are missing in Chinese. French grammar is missing inversion. Double xp isn't always rewarded, sometimes levels force you to re-do them right after completing it. Finishing a set of lessons causes the app to completely freeze",2,0,15-11-2023 16:52,,,5.129.3,en,us
37,Google Play,79e4590b-9d30-487b-ba32-06e0078b9086,MD. Naime Hossin,,good,5,0,15-11-2023 16:52,,,5.128.3,en,us
38,Google Play,a21e5f5b-9999-4ee4-8cbc-774b7f44e805,Rani Bhosale,,very good app,5,0,15-11-2023 16:51,,,5.121.4,en,us
39,Google Play,f66ddd00-0cef-4c9c-9d3b-e9195ed7609e,Hasan Vathulla,,I really like it . learning languages with it is soo fun,5,0,15-11-2023 16:51,,,5.121.4,en,us
40,Google Play,a3fbdb1a-5ffa-4964-a2cb-8c4bc93b6f67,Jake Neurauter,,kind of a weird start place (ordering in a cafe) in German btw but overall great for learning,4,0,15-11-2023 16:51,,,5.128.3,en,us
41,Google Play,2126f6ed-a15f-4a63-9f51-245587cbf3dd,Gauher Shk,,good 👍,5,0,15-11-2023 16:47,,,5.128.3,en,us
42,Google Play,3258f7b0-3368-4bd9-a702-2008dca77ccf,Sarah,,love the app. It actually manages to motivate me,5,0,15-11-2023 16:47,,,5.126.2,en,us
43,Google Play,58bae35a-b2bd-4983-9bf4-962954724101,Mary Seward,,"You removed the ability to see what sentences mean when you get them wrong and with the removal of the discussion functionality, no context for the more obscure languages such as Sottic Gaelic. No way to review vocabulary words already learned and am memorizing phrases to pass the test rather than learning how to think in the language. Not good for practical use of the language in conversations without addional resources. It's a game.",2,0,15-11-2023 16:47,,,5.128.3,en,us
44,Google Play,d4b2b7ab-1086-44c4-b758-00d3801160be,Shina Gbada,,It's a very good language tool to connect the layman to the world,4,0,15-11-2023 16:47,,,5.129.3,en,us
45,Google Play,3d6ba151-de01-4acd-a5d2-06758c7d8a3c,mdakash ali,,is very helpful app,5,0,15-11-2023 16:46,,,5.124.5,en,us
46,Google Play,42482933-fb3e-4f11-afb2-a90dbf6ab4bf,Mani Mani,,good learning app,1,0,15-11-2023 16:45,,,,en,us
47,Google Play,f5e9042f-54a4-40f9-aadf-c1dff079d439,Sly Levac,,"not too many ads, repetitive enough to be able to learn. cute animation",5,0,15-11-2023 16:43,,,5.129.3,en,us
48,Google Play,9225d11b-c2cd-43fe-8b9b-181acd6df4de,Camila Ferrufino,,"From a linguist: The overall course structure, unit layout and accuracy has improved so much over the years. I love the mini-games available as well and opportunities to revisit old units with incentives (maxing out points/gems etc.). The social aspect has been a huge game changer in terms of maintaining my streak for longer periods of time (both in competition and supporting friends on the app). REMEMBER to apply what you learn, take notes, repeat each phrase to integrate your new language!",5,0,15-11-2023 16:42,,,5.128.3,en,us
49,Google Play,0d2d75f2-31e4-43ad-a994-88c9a66cfb81,Reha M,,Great,5,0,15-11-2023 16:42,,,5.128.3,en,us
50,Google Play,c4a688a7-8c49-437e-86a6-596bf6e105e9,Milushi Milushi,,lovely!,5,0,15-11-2023 16:41,,,5.128.3,en,us
51,Google Play,8dd4fb5b-49d9-49f0-8571-350b4ba183d7,Louis Niemeyer,,"it suppose to be free of advertising but they lie, it is not. Also they try to charge you more to learn by often requiring to buy hearts. they don't do refunds so if you buy it you are stuck with it. Also they are impossible to get into contact with and don't respond to emails. that charged my account twice and had to go to my bank to get the double charge back. I will not renew when my year is up because I don't think they are honest",1,0,15-11-2023 16:37,,,5.128.3,en,us
52,Google Play,2d98eb83-5f8d-49fa-8956-431fb67c5b50,G.Ø_D,,Scene mwone,5,0,15-11-2023 16:37,,,,en,us
